Season,TeamID1,TeamID2,Seed1,Result,Seed2
1985,1116,1234,X09,1,X08
1985,1120,1345,Z11,1,Z06
1985,1120,1242,Z11,1,Z03
1985,1207,1250,W01,1,W16
1985,1207,1396,W01,1,W08
1985,1207,1260,W01,1,W04
1985,1207,1210,W01,1,W02
1985,1207,1385,W01,1,X01
1985,1229,1425,Y09,1,Y08
1985,1242,1325,Z03,1,Z14
1985,1246,1449,X12,1,X05
1985,1246,1424,X12,1,X04
1985,1256,1338,Y05,1,Y12
1985,1256,1326,Y05,1,Y04
1985,1260,1233,W04,1,W13
1985,1260,1374,W04,1,W05
1985,1314,1292,Z02,1,Z15
1985,1314,1323,Z02,1,Z07
1985,1314,1120,Z02,1,Z11
1985,1323,1333,Z07,1,Z10
1985,1326,1235,Y04,1,Y13
1985,1328,1299,Y01,1,Y16
1985,1328,1229,Y01,1,Y09
1985,1328,1256,Y01,1,Y05
1985,1374,1330,W05,1,W12
1985,1385,1380,X01,1,X16
1985,1385,1116,X01,1,X09
1985,1385,1246,X01,1,X12
1985,1385,1301,X01,1,X03
1985,1396,1439,W08,1,W09
1985,1424,1361,X04,1,X13
1985,1104,1112,X07,1,X10
1985,1104,1433,X07,1,X02
1985,1130,1403,Y11,1,Y06
1985,1130,1181,Y11,1,Y03
1985,1181,1337,Y03,1,Y14
1985,1208,1455,W06,1,W11
1985,1210,1273,W02,1,W15
1985,1210,1393,W02,1,W07
1985,1210,1228,W02,1,W03
1985,1228,1318,W03,1,W14
1985,1228,1208,W03,1,W06
1985,1268,1275,Z05,1,Z12
1985,1268,1298,Z05,1,Z13
1985,1272,1335,Y02,1,Y15
1985,1272,1412,Y02,1,Y07
1985,1272,1130,Y02,1,Y11
1985,1272,1328,Y02,1,Y01
1985,1276,1192,Z01,1,Z16
1985,1298,1261,Z13,1,Z04
1985,1301,1305,X03,1,X14
1985,1301,1431,X03,1,X11
1985,1301,1104,X03,1,X07
1985,1393,1177,W07,1,W10
1985,1412,1277,Y07,1,Y10
1985,1431,1409,X11,1,X06
1985,1433,1267,X02,1,X15
1985,1437,1173,Z08,1,Z09
1985,1437,1276,Z08,1,Z01
1985,1437,1268,Z08,1,Z05
1985,1437,1314,Z08,1,Z02
1985,1437,1272,Z08,1,Y02
1985,1437,1207,Z08,1,W01
1986,1133,1431,Z07,1,Z10
1986,1177,1438,W12,1,W05
1986,1177,1328,W12,1,W04
1986,1181,1290,W01,1,W16
1986,1181,1330,W01,1,W08
1986,1181,1177,W01,1,W12
1986,1181,1298,W01,1,W07
1986,1181,1242,W01,1,X01
1986,1207,1403,X04,1,X13
1986,1210,1265,Y02,1,Y15
1986,1210,1437,Y02,1,Y10
1986,1242,1299,X01,1,X16
1986,1242,1396,X01,1,X09
1986,1242,1277,X01,1,X05
1986,1242,1301,X01,1,X06
1986,1257,1180,Z02,1,Z15
1986,1257,1133,Z02,1,Z07
1986,1257,1314,Z02,1,Z03
1986,1257,1120,Z02,1,Z08
1986,1257,1261,Z02,1,Y11
1986,1257,1181,Z02,1,W01
1986,1261,1345,Y11,1,Y06
1986,1261,1272,Y11,1,Y03
1986,1261,1210,Y11,1,Y02
1986,1261,1246,Y11,1,Y01
1986,1272,1123,Y03,1,Y14
1986,1277,1449,X05,1,X12
1986,1277,1207,X05,1,X04
1986,1314,1428,Z03,1,Z14
1986,1314,1412,Z03,1,Z06
1986,1328,1318,W04,1,W13
1986,1330,1452,W08,1,W09
1986,1396,1239,X09,1,X08
1986,1412,1281,Z06,1,Z11
1986,1437,1439,Y10,1,Y07
1986,1104,1462,Y05,1,Y12
1986,1104,1228,Y05,1,Y04
1986,1114,1323,X14,1,X03
1986,1120,1112,Z08,1,Z09
1986,1120,1385,Z08,1,Z01
1986,1120,1424,Z08,1,Z04
1986,1156,1231,W14,1,W03
1986,1156,1386,W14,1,W06
1986,1228,1193,Y04,1,Y13
1986,1235,1275,X07,1,X10
1986,1235,1276,X07,1,X02
1986,1246,1172,Y01,1,Y16
1986,1246,1443,Y01,1,Y08
1986,1246,1104,Y01,1,Y05
1986,1268,1337,Z05,1,Z12
1986,1276,1103,X02,1,X15
1986,1298,1409,W07,1,W10
1986,1298,1393,W07,1,W02
1986,1298,1156,W07,1,W14
1986,1301,1234,X06,1,X11
1986,1301,1114,X06,1,X14
1986,1301,1235,X06,1,X07
1986,1385,1286,Z01,1,Z16
1986,1386,1350,W06,1,W11
1986,1393,1135,W02,1,W15
1986,1424,1419,Z04,1,Z13
1986,1424,1268,Z04,1,Z05
1986,1443,1304,Y08,1,Y09
1987,1104,1299,X02,1,X15
1987,1104,1309,X02,1,X07
1987,1120,1360,Y08,1,Y09
1987,1122,1228,X14,1,X03
1987,1181,1401,Y05,1,Y12
1987,1181,1462,Y05,1,Y13
1987,1231,1193,Y01,1,Y16
1987,1231,1120,Y01,1,Y08
1987,1231,1181,Y01,1,Y05
1987,1231,1261,Y01,1,Y10
1987,1231,1424,Y01,1,Z01
1987,1231,1393,Y01,1,W02
1987,1243,1208,Z09,1,Z08
